City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,pontianak,-0.0333,109.3333,297.14,94,75,2.06,ID,1680224699
217,puerto colombia,10.9878,-74.9547,299.2,85,5,13.9,CO,1680224699
218,namibe,-15.1961,12.1522,296.28,82,87,1.35,AO,1680224363
219,istok,42.7808,20.4875,279.22,85,17,1.09,XK,1680224316
220,tura,25.5198,90.2201,293.61,77,76,1.37,IN,1680224699
221,kaitangata,-46.2817,169.8464,288.53,72,15,3.88,NZ,1680224323
222,edgewater,28.9889,-80.9023,294.32,75,0,2.06,US,1680224501
223,grand gaube,-20.0064,57.6608,300.03,78,29,2.24,MU,1680224106
224,boa vista,2.8197,-60.6733,302.14,61,0,4.63,BR,1680224317
225,tevaitoa,-16.7833,-151.5,300.95,71,65,2.67,PF,1680224700
226,mutoko,-17.397,32.2268,287.87,97,5,1.22,ZW,1680224700
227,lagoa,39.05,-27.9833,286.78,77,100,3.31,PT,1680224526
228,kichera,55.9375,110.0997,276.6,95,100,2.38,RU,1680224701
229,conceicao do araguaia,-8.2578,-49.2647,296.11,93,91,1.21,BR,1680224632
230,vilhena,-12.7406,-60.1458,293.93,97,97,1.35,BR,1680224631
231,novyy urengoy,66.0833,76.6333,245.2,100,55,1.87,RU,1680224701
232,portsmouth,50.799,-1.0913,284.49,95,100,10.63,GB,1680224546
233,harlingen,26.1906,-97.6961,298.2,85,100,7.22,US,1680224502
234,zarubino,42.63,131.0922,282.22,48,0,3.33,RU,1680224701
235,vao,-22.6667,167.4833,298.44,80,64,3.8,NC,1680224355
236,kodiak,57.79,-152.4072,276.88,65,100,4.12,US,1680224262
237,galveston,29.3669,-94.9669,297.05,89,100,6.69,US,1680224705
238,springbok,-29.6643,17.8865,287.41,37,6,3.13,ZA,1680224705
239,chara,56.9064,118.2631,274.94,77,80,0.59,RU,1680224705
240,beringovskiy,63.05,179.3167,265.67,74,4,1.24,RU,1680224309
241,harper,4.375,-7.7169,299.21,88,100,2.11,LR,1680224340
